127.0.0.1 - - [28/Jul/2024:11:19:08 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:19:09 +0530] "GET /HTTP_SESSION/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:19:12 +0530] "GET /HTTP_SESSION/adminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:19:15 +0530] "POST /HTTP_SESSION/admin HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:19:21 +0530] "GET /HTTP_SESSION/view HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:19:23 +0530] "GET /HTTP_SESSION/logout HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:20:50 +0530] "GET /HTTP_SESSION/logout HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:21:48 +0530] "POST /HTTP_SESSION/admin HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:21:50 +0530] "GET /HTTP_SESSION/view HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:21:53 +0530] "GET /HTTP_SESSION/logout HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:21:56 +0530] "POST /HTTP_SESSION/admin HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:21:58 +0530] "GET /HTTP_SESSION/login HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:24:12 +0530] "POST /HTTP_SESSION/admin HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:24:14 +0530] "GET /HTTP_SESSION/logout HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:24:19 +0530] "GET /HTTP_SESSION/logout HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:24:27 +0530] "GET /HTTP_SESSION/view HTTP/1.1" 500 1287
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:27:46 +0530] "GET /HTTP_SESSION/product.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:27:49 +0530] "GET /HTTP_SESSION/view HTTP/1.1" 500 1287
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:28:49 +0530] "POST /HTTP_SESSION/admin HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:28:50 +0530] "GET /HTTP_SESSION/view HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:28:57 +0530] "GET /HTTP_SESSION/logout HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [28/Jul/2024:11:29:10 +0530] "GET /HTTP_SESSION/edit HTTP/1.1" 404 773
